10 100
1 1000 90
2 4000 90
3 4000 60
4 4000 30
5 3000 60
6 2000 60
7 4000 30
8 3000 20
9 1000 70
10 3000 100
11 4000 50
12 5000 40
13 5000 20
14 4000 100
15 4000 70
16 3000 60
17 2000 80
18 5000 40
19 5000 100
20 4000 60
21 5000 50
22 2000 30
23 1000 70
24 3000 90
25 3000 30
26 3000 40
27 4000 80
28 2000 100
29 2000 40
30 2000 80
31 5000 30
32 1000 80
33 1000 10
34 3000 70
35 4000 10
36 5000 80
37 3000 50
38 2000 70
39 3000 70
40 2000 50
41 5000 60
42 1000 50
43 3000 60
44 2000 60
45 4000 80
46 5000 20
47 2000 80
48 1000 10
49 1000 30
50 5000 10
