10 100
1 3000 50
2 2000 60
3 5000 70
4 3000 60
5 4000 70
6 1000 80
7 1000 50
8 2000 50
9 1000 10
10 2000 100
11 5000 60
12 5000 50
13 3000 10
14 3000 50
15 1000 20
16 3000 60
17 3000 90
18 2000 100
19 4000 100
20 5000 50
21 2000 70
22 2000 90
23 5000 70
24 3000 30
25 3000 30
26 2000 100
27 5000 70
28 2000 100
29 2000 50
30 5000 90
31 1000 90
32 2000 40
33 2000 40
34 3000 50
35 3000 30
36 5000 100
37 3000 50
38 2000 20
39 5000 70
40 4000 100
41 4000 80
42 3000 100
43 2000 40
44 2000 40
45 3000 50
46 1000 60
47 3000 50
