10 100
1 4000 30
2 3000 70
3 1000 20
4 1000 60
5 3000 90
6 2000 30
7 5000 60
8 5000 70
9 2000 100
10 3000 80
11 5000 20
12 1000 60
13 3000 10
14 4000 60
15 2000 10
16 4000 40
17 2000 60
18 1000 50
19 2000 40
20 4000 10
21 5000 100
22 2000 70
23 5000 100
24 4000 80
25 1000 60
26 4000 60
27 2000 10
28 3000 30
29 4000 30
30 2000 10
31 4000 20
32 1000 90
33 2000 70
34 4000 70
35 3000 40
36 4000 40
37 4000 10
38 3000 30
39 2000 50
40 5000 40
41 3000 90
42 3000 30
43 5000 40
44 1000 100
45 3000 50
46 3000 20
47 3000 80
