10 100
1 1000 100
2 1000 20
3 5000 30
4 3000 100
5 1000 50
6 3000 90
7 3000 90
8 4000 10
9 5000 20
10 5000 100
11 3000 50
12 4000 80
13 4000 40
14 2000 80
15 1000 70
16 2000 70
17 2000 10
18 4000 10
19 2000 100
20 2000 100
21 5000 10
22 1000 10
23 5000 50
24 4000 30
25 3000 40
26 1000 10
27 5000 30
28 5000 10
29 5000 40
30 3000 40
31 2000 70
32 3000 10
33 2000 20
34 2000 30
35 4000 30
36 2000 80
37 4000 40
38 2000 30
39 3000 80
40 3000 90
41 4000 100
42 2000 50
43 4000 90
44 3000 100
45 3000 90
46 1000 50
