10 100
1 5000 70
2 1000 20
3 5000 50
4 2000 10
5 3000 90
6 4000 10
7 5000 30
8 3000 60
9 5000 30
10 3000 10
11 1000 20
12 2000 50
13 2000 60
14 5000 80
15 1000 100
16 5000 80
17 1000 50
18 2000 60
19 2000 70
20 2000 80
21 2000 100
22 3000 90
23 4000 90
24 3000 60
25 5000 40
26 3000 30
27 2000 60
28 1000 80
29 4000 80
30 3000 20
31 1000 90
32 4000 60
33 3000 90
34 2000 60
35 1000 20
36 5000 60
37 1000 10
38 4000 40
39 3000 90
40 5000 10
41 4000 70
42 3000 10
43 2000 40
44 4000 70
45 5000 20
46 5000 10
47 4000 90
48 4000 70
