10 100
1 1000 30
2 2000 20
3 1000 40
4 5000 90
5 1000 20
6 4000 70
7 2000 80
8 4000 90
9 2000 60
10 1000 10
11 4000 60
12 4000 20
13 3000 90
14 5000 60
15 1000 40
16 4000 80
17 1000 40
18 2000 70
19 1000 70
20 4000 90
21 2000 100
22 2000 20
23 5000 100
24 3000 30
25 5000 40
26 3000 50
27 2000 30
28 5000 40
29 1000 100
30 3000 40
31 4000 60
32 3000 30
33 3000 30
34 1000 100
35 2000 80
36 1000 60
37 2000 80
38 2000 80
39 3000 100
40 3000 60
41 4000 40
42 2000 50
43 3000 100
44 1000 100
45 2000 20
46 5000 60
47 1000 60
