10 100
1 4000 90
2 3000 90
3 1000 100
4 1000 50
5 4000 90
6 3000 70
7 2000 50
8 3000 40
9 1000 80
10 1000 60
11 4000 30
12 4000 40
13 3000 70
14 4000 80
15 2000 70
16 1000 20
17 4000 70
18 4000 60
19 4000 60
20 3000 70
21 3000 30
22 2000 60
23 1000 60
24 4000 90
25 4000 20
26 1000 100
27 4000 20
28 2000 30
29 1000 70
30 3000 40
31 2000 60
32 3000 10
33 3000 50
34 3000 10
35 3000 10
36 4000 90
37 2000 90
38 3000 20
39 3000 50
40 3000 10
41 4000 70
42 1000 40
43 3000 50
44 2000 70
45 2000 100
46 3000 90
47 2000 60
48 2000 20
49 4000 100
50 1000 40
