10 100
1 4000 60
2 1000 60
3 1000 50
4 1000 90
5 4000 30
6 3000 50
7 3000 50
8 1000 30
9 2000 20
10 1000 50
11 2000 60
12 3000 50
13 3000 90
14 4000 60
15 1000 100
16 2000 80
17 1000 50
18 3000 50
19 3000 50
20 4000 50
21 3000 20
22 4000 70
23 3000 20
24 4000 30
25 4000 90
26 2000 10
27 3000 100
28 4000 40
29 2000 10
30 1000 50
31 2000 40
32 4000 80
33 3000 60
34 3000 100
35 4000 90
36 1000 80
37 3000 50
38 3000 60
39 1000 70
40 2000 90
41 2000 80
42 1000 30
43 2000 60
44 4000 80
45 4000 60
46 2000 100
47 1000 50
