10 100
1 2000 50
2 1000 50
3 2000 40
4 2000 20
5 4000 70
6 1000 40
7 4000 30
8 1000 30
9 4000 70
10 4000 100
11 3000 70
12 3000 60
13 3000 40
14 2000 20
15 4000 90
16 3000 30
17 1000 90
18 1000 60
19 1000 20
20 3000 10
21 3000 50
22 4000 80
23 1000 80
24 4000 90
25 2000 20
26 3000 90
27 1000 50
28 1000 80
29 3000 70
30 2000 10
31 4000 20
32 4000 20
33 1000 40
34 4000 40
35 4000 80
36 4000 60
37 3000 10
38 2000 20
39 1000 20
40 2000 60
41 1000 100
42 1000 50
43 3000 70
44 1000 60
45 2000 60
46 1000 10
47 3000 40
48 4000 90
