10 100
1 3000 90
2 4000 20
3 3000 70
4 4000 90
5 3000 50
6 2000 10
7 3000 60
8 4000 60
9 3000 20
10 1000 90
11 4000 70
12 3000 20
13 2000 70
14 3000 10
15 3000 50
16 2000 80
17 2000 70
18 3000 20
19 3000 60
20 2000 30
21 1000 80
22 2000 10
23 2000 90
24 3000 100
25 3000 30
26 2000 20
27 1000 10
28 1000 70
29 1000 30
30 2000 50
31 3000 10
32 1000 30
33 2000 20
34 3000 40
35 3000 50
36 2000 90
37 1000 80
38 4000 80
39 3000 70
40 1000 100
41 3000 100
42 4000 100
43 1000 60
44 2000 10
45 2000 60
46 4000 80
47 1000 90
48 3000 70
49 3000 50
50 3000 90
