10 100
1 1000 40
2 2000 70
3 4000 100
4 4000 80
5 3000 90
6 1000 50
7 4000 20
8 1000 100
9 2000 20
10 4000 60
11 2000 80
12 3000 70
13 2000 50
14 3000 60
15 4000 50
16 2000 10
17 2000 70
18 1000 60
19 1000 10
20 3000 90
21 3000 90
22 3000 10
23 4000 20
24 1000 10
25 3000 10
26 3000 10
27 2000 50
28 1000 50
29 2000 100
30 4000 70
31 2000 50
32 4000 60
33 3000 80
34 1000 80
35 1000 60
36 1000 90
37 1000 30
38 4000 50
39 3000 100
40 2000 90
41 1000 30
42 4000 40
43 2000 90
44 4000 10
45 4000 100
46 3000 50
47 2000 60
48 2000 80
