10 100
1 4000 80
2 1000 30
3 2000 30
4 4000 40
5 4000 100
6 3000 60
7 2000 100
8 2000 50
9 1000 90
10 3000 80
11 2000 90
12 1000 10
13 3000 100
14 4000 100
15 4000 50
16 2000 40
17 3000 80
18 2000 60
19 2000 30
20 3000 70
21 1000 30
22 3000 50
23 4000 70
24 4000 10
25 4000 100
26 3000 80
27 3000 100
28 4000 100
29 2000 70
30 2000 90
31 3000 100
32 1000 70
33 3000 20
34 4000 90
35 2000 60
36 1000 50
37 2000 90
38 3000 90
39 1000 100
40 2000 60
41 1000 90
42 1000 80
43 2000 50
44 4000 100
45 1000 20
46 1000 60
47 1000 20
48 3000 100
