10 100
1 2000 100
2 3000 20
3 1000 80
4 2000 90
5 1000 30
6 2000 40
7 3000 70
8 2000 90
9 3000 100
10 4000 10
11 3000 10
12 3000 90
13 4000 50
14 3000 20
15 2000 80
16 1000 10
17 2000 40
18 3000 30
19 3000 100
20 4000 60
21 2000 80
22 3000 60
23 3000 20
24 2000 50
25 2000 60
26 1000 60
27 3000 50
28 2000 10
29 2000 10
30 2000 20
31 3000 60
32 1000 50
33 1000 60
34 2000 20
35 1000 20
36 4000 40
37 2000 100
38 4000 80
39 3000 50
40 4000 60
41 1000 70
42 1000 80
43 3000 40
44 4000 20
45 2000 40
46 2000 20
47 2000 90
48 2000 90
49 3000 60
