10 100
1 1000 100
2 1000 70
3 4000 80
4 3000 70
5 2000 70
6 3000 70
7 4000 30
8 4000 50
9 4000 20
10 1000 30
11 4000 80
12 3000 20
13 4000 70
14 4000 70
15 2000 10
16 1000 60
17 1000 90
18 1000 70
19 3000 50
20 4000 70
21 3000 70
22 2000 100
23 2000 100
24 4000 20
25 1000 20
26 3000 10
27 3000 60
28 2000 60
29 2000 90
30 4000 60
31 2000 10
32 2000 100
33 2000 50
34 3000 70
35 1000 20
36 4000 30
37 1000 90
38 3000 90
39 3000 100
40 2000 10
41 4000 60
42 2000 40
43 1000 70
44 2000 60
45 1000 30
46 3000 40
47 2000 60
48 3000 40
49 2000 30
50 4000 30
