10 100
1 1000 80
2 2000 10
3 1000 70
4 2000 30
5 3000 10
6 2000 60
7 2000 60
8 1000 80
9 1000 40
10 2000 70
11 1000 100
12 2000 20
13 2000 100
14 1000 100
15 2000 10
16 1000 20
17 1000 100
18 4000 80
19 3000 60
20 2000 40
21 2000 80
22 4000 100
23 2000 80
24 1000 80
25 4000 30
26 1000 30
27 2000 60
28 3000 20
29 4000 80
30 3000 60
31 4000 10
32 1000 80
33 3000 40
34 3000 90
35 3000 80
36 1000 70
37 2000 50
38 1000 100
39 4000 80
40 4000 90
41 4000 70
42 2000 50
43 3000 50
44 3000 80
45 2000 10
46 3000 40
47 2000 50
48 3000 40
49 1000 70
