10 100
1 3000 70
2 1000 40
3 2000 10
4 3000 40
5 4000 10
6 2000 20
7 3000 10
8 1000 50
9 1000 80
10 1000 100
11 2000 100
12 4000 30
13 2000 30
14 2000 30
15 4000 70
16 4000 60
17 1000 80
18 3000 80
19 4000 90
20 2000 10
21 3000 20
22 3000 70
23 4000 90
24 4000 70
25 3000 100
26 1000 60
27 4000 40
28 4000 90
29 4000 60
30 1000 50
31 1000 50
32 3000 70
33 3000 80
34 4000 20
35 1000 70
36 3000 60
37 3000 80
38 2000 10
39 2000 50
40 1000 30
41 3000 60
42 2000 70
43 4000 70
44 2000 100
45 3000 10
46 4000 60
