10 100
1 2000 30
2 1000 100
3 2000 70
4 2000 80
5 3000 90
6 4000 20
7 3000 80
8 2000 70
9 1000 70
10 4000 60
11 1000 30
12 1000 20
13 1000 60
14 2000 100
15 1000 80
16 3000 50
17 3000 10
18 4000 20
19 4000 40
20 3000 70
21 1000 50
22 1000 70
23 4000 60
24 3000 100
25 3000 80
26 2000 10
27 4000 40
28 2000 30
29 1000 70
30 3000 10
31 1000 10
32 1000 70
33 2000 100
34 1000 20
35 3000 70
36 3000 90
37 3000 80
38 3000 50
39 4000 20
40 4000 90
41 2000 60
42 2000 30
43 1000 50
44 3000 70
45 3000 10
46 3000 60
47 2000 40
