10 100
1 2000 40
2 1000 30
3 4000 30
4 2000 90
5 3000 60
6 3000 10
7 2000 50
8 4000 90
9 2000 70
10 1000 50
11 3000 90
12 3000 10
13 4000 100
14 3000 70
15 1000 80
16 2000 100
17 1000 90
18 4000 100
19 1000 60
20 2000 10
21 2000 100
22 4000 90
23 2000 30
24 2000 20
25 1000 70
26 4000 50
27 4000 20
28 1000 80
29 4000 20
30 3000 30
31 4000 30
32 3000 20
33 2000 50
34 1000 40
35 4000 100
36 1000 30
37 4000 100
38 1000 70
39 4000 40
40 3000 40
41 2000 90
42 1000 60
43 3000 70
44 2000 50
45 3000 30
46 4000 100
47 1000 30
48 1000 80
49 4000 60
