10 100
1 3000 80
2 2000 40
3 1000 60
4 2000 40
5 2000 70
6 1000 100
7 4000 20
8 3000 10
9 3000 40
10 3000 90
11 1000 70
12 2000 10
13 4000 100
14 3000 50
15 3000 30
16 1000 20
17 4000 50
18 2000 50
19 1000 50
20 2000 100
21 2000 10
22 1000 60
23 2000 80
24 3000 100
25 4000 70
26 1000 20
27 3000 40
28 2000 10
29 3000 20
30 2000 90
31 3000 100
32 4000 50
33 3000 60
34 2000 70
35 1000 10
36 4000 30
37 3000 60
38 1000 50
39 1000 70
40 1000 80
41 3000 60
42 2000 60
43 1000 40
44 4000 40
45 3000 30
46 2000 100
47 1000 60
48 2000 90
49 2000 70
