10 100
1 3000 40
2 4000 60
3 1000 80
4 3000 30
5 2000 60
6 3000 40
7 3000 60
8 3000 20
9 4000 20
10 4000 30
11 2000 70
12 2000 30
13 2000 30
14 4000 90
15 1000 20
16 3000 50
17 3000 20
18 2000 40
19 3000 100
20 2000 30
21 3000 40
22 3000 100
23 3000 60
24 4000 60
25 3000 30
26 3000 50
27 2000 80
28 4000 30
29 3000 10
30 4000 90
31 4000 50
32 4000 90
33 2000 50
34 3000 70
35 2000 10
36 2000 10
37 3000 80
38 4000 50
39 4000 20
40 4000 20
41 3000 10
42 4000 40
43 3000 60
44 2000 10
45 4000 60
46 1000 20
47 2000 40
