10 100
1 3000 90
2 3000 30
3 2000 100
4 1000 60
5 4000 30
6 4000 60
7 4000 80
8 1000 60
9 4000 10
10 4000 40
11 1000 80
12 4000 100
13 2000 50
14 3000 50
15 1000 20
16 1000 20
17 2000 80
18 2000 100
19 1000 40
20 2000 70
21 4000 90
22 2000 50
23 1000 70
24 3000 100
25 4000 40
26 3000 20
27 2000 30
28 2000 70
29 2000 30
30 2000 20
31 3000 60
32 1000 70
33 2000 80
34 1000 40
35 2000 50
36 3000 90
37 4000 20
38 4000 20
39 1000 60
40 2000 100
41 4000 60
42 2000 40
43 3000 60
44 2000 90
45 4000 50
46 2000 60
47 1000 50
