10 100
1 4000 100
2 2000 100
3 1000 50
4 2000 80
5 4000 30
6 2000 10
7 3000 40
8 4000 90
9 2000 60
10 3000 30
11 1000 100
12 4000 80
13 2000 20
14 3000 10
15 4000 40
16 1000 90
17 3000 70
18 1000 60
19 1000 70
20 4000 60
21 1000 20
22 2000 30
23 4000 90
24 4000 60
25 2000 80
26 4000 30
27 3000 50
28 4000 10
29 3000 60
30 4000 100
31 2000 10
32 4000 30
33 3000 80
34 1000 10
35 4000 50
36 2000 50
37 4000 70
38 1000 50
39 2000 10
40 4000 20
41 4000 10
42 2000 60
43 4000 100
44 3000 70
45 3000 20
46 3000 50
47 3000 60
48 2000 30
