10 100
1 4000 10
2 2000 10
3 1000 100
4 3000 70
5 4000 60
6 4000 40
7 2000 20
8 2000 100
9 4000 50
10 2000 100
11 1000 80
12 1000 30
13 1000 80
14 1000 50
15 2000 90
16 3000 50
17 1000 40
18 2000 90
19 1000 40
20 4000 20
21 4000 100
22 2000 20
23 2000 70
24 2000 40
25 2000 50
26 2000 90
27 4000 100
28 3000 60
29 3000 10
30 1000 10
31 3000 60
32 1000 90
33 4000 20
34 1000 50
35 3000 40
36 1000 70
37 2000 20
38 4000 90
39 3000 30
40 2000 30
41 3000 60
42 3000 10
43 4000 30
44 4000 40
45 2000 80
46 4000 60
47 4000 30
48 1000 50
