10 100
1 4000 100
2 1000 50
3 3000 20
4 2000 50
5 2000 40
6 3000 100
7 4000 40
8 3000 50
9 1000 80
10 3000 40
11 3000 100
12 4000 100
13 1000 80
14 3000 30
15 4000 30
16 1000 80
17 2000 40
18 4000 80
19 4000 30
20 2000 40
21 3000 20
22 3000 40
23 2000 10
24 1000 50
25 4000 90
26 4000 50
27 3000 10
28 3000 60
29 3000 100
30 3000 30
31 1000 80
32 4000 70
33 1000 40
34 4000 90
35 2000 90
36 4000 40
37 2000 70
38 3000 50
39 4000 100
40 3000 80
41 1000 100
42 3000 100
43 1000 80
44 2000 90
45 3000 50
46 4000 20
