10 100
1 1000 50
2 2000 40
3 1000 10
4 3000 20
5 3000 60
6 4000 40
7 3000 30
8 3000 70
9 4000 80
10 3000 90
11 1000 60
12 1000 60
13 2000 20
14 4000 20
15 3000 70
16 1000 100
17 2000 90
18 4000 40
19 4000 60
20 2000 80
21 3000 10
22 2000 80
23 2000 90
24 2000 60
25 3000 20
26 3000 80
27 1000 80
28 4000 60
29 1000 90
30 1000 70
31 3000 60
32 2000 100
33 2000 20
34 4000 90
35 1000 20
36 3000 90
37 4000 10
38 1000 70
39 1000 30
40 1000 100
41 4000 70
42 1000 30
43 1000 20
44 4000 40
45 1000 60
46 4000 90
47 3000 90
