10 100
1 2000 20
2 2000 70
3 3000 50
4 1000 100
5 4000 70
6 1000 60
7 2000 100
8 4000 10
9 2000 50
10 3000 50
11 3000 20
12 2000 60
13 1000 70
14 3000 30
15 3000 100
16 2000 30
17 2000 100
18 2000 90
19 4000 60
20 1000 90
21 3000 10
22 1000 90
23 3000 100
24 3000 20
25 4000 80
26 4000 100
27 1000 20
28 2000 100
29 2000 70
30 2000 70
31 2000 90
32 3000 20
33 4000 10
34 4000 60
35 1000 90
36 1000 10
37 4000 10
38 1000 30
39 2000 90
40 4000 50
41 2000 10
42 4000 90
43 2000 10
44 1000 40
45 4000 20
