10 100
1 2000 40
2 3000 100
3 4000 20
4 1000 50
5 3000 100
6 3000 60
7 2000 30
8 1000 80
9 2000 50
10 2000 100
11 1000 100
12 4000 20
13 4000 100
14 2000 20
15 1000 20
16 4000 20
17 1000 50
18 3000 10
19 1000 30
20 3000 50
21 3000 90
22 4000 10
23 4000 20
24 4000 80
25 4000 90
26 3000 100
27 1000 60
28 1000 70
29 4000 40
30 3000 90
31 3000 80
32 3000 30
33 3000 30
34 4000 10
35 2000 90
36 3000 80
37 2000 80
38 2000 90
39 3000 80
40 2000 70
41 3000 70
42 1000 80
43 2000 100
44 4000 90
45 1000 40
46 2000 30
47 2000 80
48 4000 60
49 4000 90
