10 100
1 4000 100
2 1000 20
3 1000 100
4 2000 90
5 4000 70
6 1000 30
7 2000 50
8 1000 40
9 1000 60
10 1000 90
11 4000 100
12 1000 100
13 3000 50
14 4000 100
15 2000 40
16 2000 70
17 2000 60
18 3000 40
19 1000 20
20 1000 10
21 1000 20
22 1000 10
23 1000 70
24 2000 30
25 4000 90
26 3000 60
27 1000 100
28 1000 50
29 2000 10
30 2000 90
31 4000 50
32 2000 80
33 4000 50
34 4000 60
35 3000 60
36 1000 60
37 3000 30
38 2000 50
39 2000 30
40 3000 30
41 3000 10
42 2000 10
43 2000 50
44 2000 70
45 2000 30
46 3000 20
47 2000 40
48 2000 80
49 1000 40
50 3000 70
