10 100
1 1000 100
2 3000 70
3 1000 30
4 2000 90
5 4000 70
6 2000 50
7 3000 70
8 2000 70
9 1000 30
10 4000 60
11 1000 90
12 1000 40
13 2000 90
14 2000 80
15 4000 30
16 1000 40
17 2000 60
18 1000 80
19 1000 70
20 4000 70
21 3000 90
22 2000 90
23 1000 10
24 2000 10
25 2000 60
26 2000 50
27 3000 60
28 2000 40
29 2000 30
30 3000 100
31 1000 100
32 2000 90
33 3000 40
34 3000 60
35 2000 40
36 2000 80
37 3000 50
38 1000 100
39 2000 20
40 2000 50
41 3000 20
42 3000 30
43 3000 100
44 3000 30
45 1000 100
46 2000 80
47 2000 70
48 3000 70
49 4000 40
