10 100
1 3000 70
2 2000 60
3 2000 70
4 3000 20
5 3000 90
6 3000 30
7 1000 20
8 4000 20
9 3000 20
10 3000 20
11 3000 50
12 2000 30
13 4000 80
14 4000 50
15 2000 90
16 4000 90
17 4000 50
18 2000 30
19 3000 70
20 3000 90
21 2000 20
22 3000 80
23 2000 80
24 2000 100
25 3000 10
26 2000 70
27 4000 40
28 3000 70
29 1000 90
30 1000 80
31 1000 60
32 4000 10
33 3000 90
34 2000 40
35 4000 20
36 3000 40
37 4000 60
38 4000 70
39 4000 40
40 3000 60
41 1000 20
42 4000 100
43 2000 30
44 2000 80
45 3000 100
46 1000 70
47 4000 10
48 4000 60
