10 100
1 1000 90
2 3000 70
3 2000 100
4 2000 90
5 3000 50
6 4000 50
7 4000 10
8 2000 20
9 1000 20
10 2000 100
11 3000 30
12 1000 70
13 3000 20
14 3000 100
15 4000 20
16 3000 60
17 4000 80
18 4000 70
19 1000 50
20 2000 30
21 3000 30
22 1000 100
23 4000 30
24 3000 100
25 2000 30
26 4000 10
27 3000 80
28 4000 10
29 3000 10
30 2000 60
31 2000 40
32 3000 20
33 4000 60
34 3000 40
35 1000 60
36 1000 10
37 4000 50
38 4000 50
39 4000 70
40 1000 30
41 4000 50
42 3000 90
43 3000 20
44 1000 60
45 4000 100
46 1000 60
