10 100
1 4000 20
2 4000 90
3 4000 100
4 1000 40
5 1000 40
6 3000 30
7 1000 20
8 1000 10
9 1000 30
10 3000 20
11 4000 70
12 2000 30
13 3000 60
14 4000 60
15 3000 70
16 3000 20
17 3000 100
18 1000 30
19 1000 60
20 3000 50
21 1000 50
22 2000 40
23 2000 80
24 4000 50
25 4000 30
26 1000 90
27 1000 20
28 3000 20
29 1000 90
30 1000 20
31 2000 100
32 2000 50
33 2000 50
34 1000 40
35 1000 60
36 1000 20
37 3000 70
38 3000 60
39 3000 100
40 3000 50
41 3000 20
42 2000 30
43 1000 70
44 4000 40
45 1000 40
46 1000 10
47 4000 100
48 1000 80
