10 100
1 2000 100
2 4000 90
3 1000 50
4 2000 90
5 2000 30
6 1000 20
7 1000 30
8 4000 10
9 4000 80
10 2000 30
11 4000 20
12 4000 20
13 4000 40
14 4000 70
15 4000 10
16 3000 20
17 1000 90
18 3000 60
19 4000 100
20 1000 30
21 2000 40
22 3000 60
23 1000 30
24 4000 60
25 1000 10
26 2000 50
27 2000 80
28 3000 100
29 1000 70
30 1000 90
31 4000 10
32 3000 80
33 1000 20
34 3000 50
35 1000 10
36 2000 70
37 4000 20
38 3000 40
39 4000 100
40 3000 80
41 2000 60
42 1000 90
43 4000 20
44 3000 50
45 4000 60
46 2000 80
