10 100
1 1000 100
2 1000 50
3 3000 100
4 1000 50
5 4000 70
6 4000 10
7 2000 30
8 3000 20
9 3000 70
10 3000 100
11 4000 20
12 1000 50
13 1000 80
14 2000 60
15 1000 80
16 4000 30
17 3000 80
18 1000 30
19 1000 40
20 2000 90
21 3000 90
22 4000 30
23 2000 70
24 1000 80
25 2000 60
26 3000 90
27 4000 80
28 4000 100
29 3000 90
30 3000 40
31 4000 100
32 4000 50
33 4000 50
34 1000 70
35 4000 40
36 2000 20
37 4000 50
38 1000 60
39 4000 30
40 2000 50
41 1000 30
42 3000 80
43 2000 70
44 3000 90
45 3000 50
46 1000 30
47 1000 100
48 1000 50
