10 100
1 2000 60
2 2000 100
3 1000 90
4 4000 80
5 2000 40
6 1000 80
7 2000 20
8 2000 50
9 1000 30
10 2000 20
11 3000 20
12 2000 40
13 3000 90
14 2000 30
15 2000 70
16 1000 50
17 1000 20
18 2000 20
19 4000 80
20 2000 20
21 3000 10
22 3000 20
23 1000 50
24 2000 90
25 2000 80
26 4000 60
27 2000 30
28 4000 60
29 4000 60
30 1000 40
31 3000 20
32 2000 70
33 2000 70
34 1000 20
35 1000 80
36 1000 80
37 1000 30
38 4000 40
39 2000 90
40 2000 100
41 1000 30
42 1000 60
43 2000 50
44 4000 70
45 4000 40
46 2000 20
47 1000 30
48 2000 100
49 4000 70
50 4000 40
