10 100
1 3000 100
2 3000 50
3 1000 30
4 4000 10
5 1000 80
6 2000 50
7 3000 80
8 1000 90
9 3000 10
10 4000 70
11 3000 40
12 2000 50
13 4000 20
14 2000 40
15 3000 70
16 2000 40
17 4000 10
18 3000 20
19 4000 20
20 1000 10
21 1000 70
22 3000 80
23 2000 20
24 1000 20
25 3000 70
26 2000 70
27 4000 50
28 3000 10
29 4000 70
30 4000 100
31 3000 60
32 2000 10
33 1000 30
34 2000 100
35 4000 80
36 2000 90
37 3000 90
38 1000 100
39 1000 60
40 2000 50
41 2000 20
42 1000 10
43 4000 30
44 2000 50
45 2000 50
46 2000 40
47 3000 90
