10 100
1 4000 40
2 1000 90
3 1000 10
4 2000 10
5 2000 30
6 4000 40
7 4000 70
8 4000 90
9 2000 70
10 3000 100
11 4000 50
12 3000 20
13 3000 50
14 2000 20
15 4000 50
16 2000 80
17 2000 50
18 2000 10
19 2000 60
20 3000 30
21 1000 50
22 2000 10
23 1000 80
24 1000 20
25 2000 50
26 3000 100
27 2000 70
28 3000 60
29 2000 30
30 2000 90
31 2000 90
32 1000 90
33 2000 30
34 3000 90
35 3000 40
36 1000 80
37 4000 70
38 3000 90
39 3000 80
40 3000 30
41 4000 40
42 4000 30
43 1000 70
44 1000 30
45 3000 90
46 1000 90
47 1000 80
