10 100
1 2000 10
2 3000 80
3 1000 100
4 4000 20
5 2000 30
6 3000 10
7 2000 10
8 1000 60
9 1000 90
10 3000 80
11 1000 10
12 4000 10
13 1000 30
14 4000 10
15 3000 50
16 4000 80
17 1000 20
18 1000 10
19 3000 30
20 1000 80
21 4000 50
22 2000 100
23 3000 30
24 2000 100
25 3000 50
26 3000 50
27 4000 100
28 2000 20
29 1000 50
30 4000 10
31 3000 20
32 2000 70
33 4000 80
34 1000 60
35 3000 40
36 1000 60
37 3000 40
38 4000 70
39 1000 50
40 1000 80
41 2000 60
42 2000 60
43 4000 90
44 3000 90
45 1000 10
46 1000 50
47 4000 10
