10 100
1 2000 80
2 2000 30
3 4000 100
4 4000 40
5 2000 80
6 4000 40
7 3000 60
8 3000 40
9 1000 100
10 2000 60
11 2000 50
12 4000 40
13 3000 30
14 2000 70
15 3000 30
16 2000 80
17 3000 80
18 1000 90
19 1000 40
20 2000 40
21 1000 80
22 4000 10
23 4000 40
24 1000 100
25 4000 30
26 2000 70
27 1000 50
28 3000 90
29 3000 100
30 4000 20
31 2000 20
32 3000 60
33 2000 10
34 4000 80
35 2000 80
36 1000 90
37 1000 80
38 1000 10
39 1000 40
40 2000 70
41 1000 10
42 4000 40
43 1000 60
44 2000 40
45 1000 100
46 2000 10
47 4000 90
