10 100
1 2000 100
2 2000 30
3 1000 20
4 3000 40
5 1000 20
6 1000 40
7 4000 10
8 4000 20
9 1000 90
10 2000 40
11 2000 30
12 4000 30
13 3000 60
14 4000 80
15 4000 90
16 2000 30
17 2000 30
18 2000 30
19 3000 70
20 3000 90
21 3000 90
22 4000 80
23 2000 20
24 1000 90
25 4000 40
26 4000 70
27 4000 20
28 2000 50
29 3000 30
30 3000 70
31 1000 90
32 1000 20
33 4000 70
34 3000 70
35 4000 20
36 4000 50
37 4000 90
38 2000 30
39 1000 30
40 1000 20
41 3000 80
42 4000 50
43 4000 10
44 2000 90
45 3000 40
46 2000 60
47 2000 50
48 4000 60
49 4000 30
