10 100
1 4000 80
2 2000 90
3 2000 40
4 4000 40
5 3000 60
6 2000 70
7 3000 20
8 4000 60
9 2000 50
10 1000 80
11 1000 100
12 4000 40
13 1000 90
14 3000 70
15 3000 30
16 1000 100
17 2000 100
18 4000 20
19 3000 50
20 4000 30
21 3000 90
22 4000 60
23 2000 90
24 2000 100
25 1000 10
26 1000 20
27 3000 30
28 1000 20
29 4000 100
30 1000 20
31 4000 80
32 2000 40
33 1000 40
34 3000 20
35 3000 10
36 4000 100
37 2000 70
38 1000 30
39 1000 80
40 4000 70
41 3000 90
42 4000 30
43 3000 70
44 1000 60
45 4000 60
46 1000 100
47 1000 10
48 1000 90
49 1000 20
50 2000 50
