10 100
1 2000 10
2 2000 70
3 2000 20
4 1000 60
5 2000 40
6 3000 100
7 3000 90
8 4000 100
9 2000 10
10 3000 80
11 1000 20
12 1000 20
13 2000 80
14 3000 90
15 4000 50
16 4000 50
17 1000 70
18 3000 90
19 2000 80
20 2000 10
21 1000 80
22 3000 30
23 1000 20
24 3000 50
25 4000 20
26 4000 100
27 1000 100
28 4000 90
29 1000 10
30 2000 100
31 2000 100
32 2000 10
33 4000 70
34 2000 80
35 1000 50
36 4000 60
37 2000 90
38 4000 90
39 2000 30
40 3000 70
41 1000 60
42 3000 10
43 2000 80
44 1000 50
45 4000 20
46 3000 50
47 1000 100
48 1000 10
49 3000 60
50 1000 10
