10 100
1 3000 50
2 1000 50
3 3000 30
4 3000 30
5 3000 60
6 2000 100
7 1000 70
8 4000 50
9 1000 30
10 3000 20
11 3000 20
12 4000 30
13 2000 50
14 2000 10
15 4000 20
16 4000 80
17 3000 80
18 4000 30
19 4000 40
20 3000 100
21 1000 20
22 3000 90
23 4000 10
24 1000 40
25 4000 40
26 3000 60
27 1000 80
28 1000 50
29 1000 70
30 2000 10
31 3000 80
32 3000 80
33 3000 30
34 1000 10
35 2000 90
36 1000 60
37 4000 100
38 1000 30
39 3000 10
40 1000 70
41 2000 60
42 2000 10
43 1000 10
44 1000 90
45 2000 40
46 3000 100
47 1000 100
48 2000 100
49 1000 90
