10 100
1 3000 20
2 1000 90
3 1000 60
4 2000 100
5 4000 100
6 4000 90
7 1000 30
8 3000 100
9 3000 60
10 4000 100
11 2000 50
12 3000 50
13 2000 60
14 2000 70
15 3000 80
16 4000 30
17 1000 100
18 4000 80
19 3000 30
20 3000 50
21 2000 90
22 3000 40
23 3000 60
24 3000 80
25 3000 70
26 3000 80
27 4000 100
28 1000 60
29 4000 100
30 3000 60
31 4000 40
32 1000 70
33 2000 100
34 3000 10
35 2000 60
36 2000 50
37 3000 40
38 2000 60
39 1000 60
40 1000 100
41 1000 20
42 4000 40
43 2000 30
44 3000 100
45 4000 20
