10 100
1 2000 90
2 4000 30
3 1000 50
4 2000 40
5 4000 20
6 3000 60
7 3000 30
8 1000 40
9 1000 80
10 1000 70
11 3000 100
12 4000 70
13 4000 80
14 1000 60
15 1000 90
16 4000 100
17 1000 30
18 3000 20
19 1000 10
20 3000 50
21 3000 60
22 2000 50
23 2000 50
24 1000 40
25 1000 40
26 4000 50
27 4000 60
28 4000 80
29 3000 40
30 2000 60
31 3000 90
32 1000 20
33 4000 90
34 1000 10
35 2000 30
36 1000 100
37 4000 90
38 3000 80
39 2000 60
40 2000 80
41 4000 10
42 2000 50
43 2000 60
44 4000 50
45 3000 100
46 3000 60
47 1000 60
