10 100
1 2000 10
2 3000 30
3 3000 60
4 2000 100
5 1000 60
6 4000 30
7 3000 20
8 4000 40
9 2000 20
10 3000 100
11 2000 100
12 3000 40
13 3000 50
14 3000 90
15 3000 100
16 4000 90
17 1000 20
18 3000 90
19 1000 20
20 2000 70
21 3000 30
22 4000 60
23 3000 70
24 3000 70
25 2000 100
26 1000 40
27 4000 10
28 2000 60
29 1000 60
30 4000 10
31 4000 20
32 4000 90
33 2000 50
34 1000 30
35 2000 70
36 4000 80
37 4000 20
38 4000 50
39 4000 60
40 1000 70
41 3000 60
42 1000 80
43 3000 10
44 1000 60
45 2000 100
46 2000 30
47 1000 80
48 2000 70
