10 100
1 1000 60
2 3000 90
3 2000 60
4 1000 80
5 3000 90
6 2000 100
7 4000 30
8 1000 40
9 1000 60
10 1000 10
11 3000 40
12 3000 100
13 3000 10
14 3000 90
15 2000 20
16 4000 70
17 3000 40
18 2000 90
19 3000 80
20 3000 100
21 2000 10
22 3000 50
23 2000 80
24 4000 100
25 2000 70
26 4000 20
27 3000 100
28 1000 50
29 2000 100
30 1000 20
31 1000 20
32 4000 100
33 1000 50
34 1000 80
35 1000 60
36 2000 20
37 3000 70
38 1000 20
39 1000 50
40 4000 10
41 4000 10
42 2000 30
43 2000 50
44 2000 40
45 4000 20
46 4000 80
47 3000 60
