10 100
1 1000 100
2 1000 100
3 2000 50
4 2000 10
5 2000 100
6 2000 60
7 2000 70
8 3000 70
9 3000 10
10 2000 30
11 2000 60
12 3000 30
13 2000 70
14 3000 60
15 2000 10
16 3000 30
17 2000 10
18 2000 50
19 2000 40
20 3000 100
21 2000 50
22 4000 10
23 1000 50
24 2000 100
25 2000 100
26 3000 30
27 4000 80
28 3000 10
29 1000 90
30 2000 50
31 4000 70
32 3000 100
33 4000 100
34 3000 60
35 2000 20
36 3000 80
37 3000 30
38 4000 10
39 4000 100
40 4000 30
41 2000 50
42 3000 80
43 2000 10
44 4000 50
45 1000 70
46 2000 90
47 3000 90
48 4000 40
49 4000 50
50 1000 40
