10 100
1 3000 90
2 3000 90
3 4000 10
4 1000 40
5 4000 20
6 2000 70
7 3000 80
8 2000 20
9 3000 40
10 3000 70
11 4000 90
12 4000 90
13 3000 20
14 1000 50
15 1000 60
16 4000 100
17 4000 80
18 4000 20
19 3000 60
20 2000 90
21 1000 80
22 3000 100
23 3000 80
24 2000 20
25 1000 20
26 2000 10
27 1000 70
28 3000 30
29 3000 80
30 3000 100
31 3000 20
32 1000 10
33 1000 90
34 4000 10
35 1000 90
36 4000 30
37 2000 80
38 2000 30
39 4000 50
40 4000 70
41 4000 60
42 3000 70
43 2000 100
44 2000 100
45 2000 80
46 4000 30
47 1000 90
