10 100
1 4000 60
2 1000 80
3 2000 40
4 2000 50
5 4000 100
6 4000 80
7 4000 90
8 3000 70
9 2000 10
10 4000 100
11 3000 70
12 2000 100
13 1000 80
14 1000 70
15 1000 80
16 2000 30
17 4000 20
18 3000 40
19 1000 20
20 3000 10
21 2000 50
22 1000 90
23 2000 90
24 1000 30
25 1000 50
26 4000 70
27 4000 60
28 2000 80
29 4000 50
30 3000 40
31 4000 80
32 4000 10
33 2000 100
34 4000 80
35 3000 60
36 3000 50
37 3000 80
38 4000 70
39 1000 10
40 2000 50
41 1000 30
42 1000 70
43 3000 100
44 2000 50
45 4000 20
46 4000 20
47 3000 80
