10 100
1 2000 20
2 1000 100
3 1000 20
4 3000 40
5 2000 90
6 4000 80
7 2000 90
8 3000 30
9 1000 10
10 3000 90
11 2000 50
12 4000 90
13 4000 80
14 4000 60
15 3000 10
16 1000 10
17 4000 30
18 2000 90
19 2000 10
20 2000 50
21 3000 100
22 3000 80
23 2000 100
24 3000 10
25 2000 10
26 3000 90
27 1000 90
28 1000 80
29 2000 50
30 2000 70
31 3000 30
32 2000 60
33 2000 90
34 4000 20
35 3000 90
36 3000 20
37 4000 10
38 2000 20
39 1000 60
40 2000 40
41 4000 100
42 2000 50
43 3000 10
44 3000 50
45 2000 90
46 3000 100
47 4000 100
48 3000 90
49 3000 40
50 2000 10
