10 100
1 2000 100
2 3000 10
3 1000 60
4 1000 10
5 4000 50
6 4000 20
7 4000 70
8 2000 50
9 4000 50
10 1000 100
11 3000 80
12 1000 70
13 1000 20
14 1000 40
15 3000 80
16 3000 10
17 2000 80
18 1000 50
19 4000 90
20 1000 70
21 1000 50
22 2000 40
23 3000 70
24 2000 50
25 3000 100
26 1000 20
27 2000 20
28 3000 100
29 1000 100
30 4000 50
31 3000 40
32 2000 70
33 1000 100
34 3000 90
35 3000 10
36 1000 30
37 1000 60
38 3000 100
39 4000 50
40 2000 80
41 1000 20
42 2000 40
43 1000 10
44 2000 20
45 2000 80
46 3000 80
47 1000 40
48 4000 90
49 4000 70
